country,year,raw_name,sans_ext,module,orig_col,new_col,data_level
TZA,2008,SEC_A_T.dta,SEC_A_T,hh_overview,hhid,hhid,hh
TZA,2008,SEC_A_T.dta,SEC_A_T,hh_overview,rural,urb_rur,hh
TZA,2008,HH.Geovariables_Y1.dta,HH.Geovariables_Y1,geovars_r1,dist01,dist_road,hh
TZA,2008,HH.Geovariables_Y1.dta,HH.Geovariables_Y1,geovars_r1,dist02,dist_popcenter,hh
TZA,2008,HH.Geovariables_Y1.dta,HH.Geovariables_Y1,geovars_r1,dist03,dist_agmrkt,hh
TZA,2008,SEC_H1_J_K2_O2_P1_Q1_S1.dta,SEC_H1_J_K2_O2_P1_Q1_S1,housing,sjq17_1,cooking_fuel_prm,hh
TZA,2008,SEC_B_C_D_E1_F_G1_U.dta,SEC_B_C_D_E1_F_G1_U,member_roster,sbq5,relation_head,indiv
TZA,2008,SEC_B_C_D_E1_F_G1_U.dta,SEC_B_C_D_E1_F_G1_U,member_roster,sbq2,sex,indiv
TZA,2008,SEC_B_C_D_E1_F_G1_U.dta,SEC_B_C_D_E1_F_G1_U,member_roster,sbq4,age,indiv
MWI,2010,hh_mod_a_filt.dta,hh_mod_a_filt,hh_overview,case_id,hhid,hh
MWI,2010,hh_mod_a_filt.dta,hh_mod_a_filt,hh_overview,reside,urb_rur,hh
MWI,2010,householdgeovariables.dta,householdgeovariables,geovars,dist_road,dist_road,hh
MWI,2010,householdgeovariables.dta,householdgeovariables,geovars,dist_popcenter,dist_popcenter,hh
MWI,2010,hh_mod_f.dta,hh_mod_f,housing,hh_f12,cooking_fuel_prm,hh
MWI,2010,hh_mod_b.dta,hh_mod_b,member_roster,hh_b04,relation_head,indiv
MWI,2010,hh_mod_b.dta,hh_mod_b,member_roster,hh_b03,sex,indiv
MWI,2010,hh_mod_b.dta,hh_mod_b,member_roster,hh_b05a,age,indiv
ETH,2011,ethsect_cover_hh_w2.dta,ethsect_cover_hh_w2,hh_overview,household_id2,hhid,hh
ETH,2011,ethsect_cover_hh_w2.dta,ethsect_cover_hh_w2,hh_overview,rural,urb_rur,hh
ETH,2011,ethPub_ETH_HouseholdGeovars_Y2.dta,ethPub_ETH_HouseholdGeovars_Y2,geovars,dist_road,dist_road,hh
ETH,2011,ethPub_ETH_HouseholdGeovars_Y2.dta,ethPub_ETH_HouseholdGeovars_Y2,geovars,dist_popcenter,dist_popcenter,hh
ETH,2011,ethPub_ETH_HouseholdGeovars_Y2.dta,ethPub_ETH_HouseholdGeovars_Y2,geovars,dist_market,dist_agmrkt,hh
ETH,2011,ethsect9_hh_w2.dta,ethsect9_hh_w2,housing,hh_s9q21,cooking_fuel_prm,hh
ETH,2011,ethsect1_hh_w2.dta,ethsect1_hh_w2,member_roster,hh_s1q02,relation_head,indiv
ETH,2011,ethsect1_hh_w2.dta,ethsect1_hh_w2,member_roster,hh_s1q03,sex,indiv
ETH,2011,ethsect1_hh_w2.dta,ethsect1_hh_w2,member_roster,hh_s1q04_a,age,indiv
UGA,2014,ugaGSEC1.dta,ugaGSEC1,hh_overview,HHID,hhid,hh
UGA,2014,ugaGSEC1.dta,ugaGSEC1,hh_overview,urban,urb_rur,hh
UGA,2014,,,geovars,no_var,dist_road,hh
UGA,2014,,,geovars,no_var,dist_popcenter,hh
UGA,2014,,,geovars,no_var,dist_agmrkt,hh
UGA,2014,ugaGSEC10_1.dta,ugaGSEC10_1,housing,h10q9,cooking_fuel_prm,hh
UGA,2014,ugaGSEC2.dta,ugaGSEC2,member_roster,h2q4,relation_head,indiv
UGA,2014,ugaGSEC2.dta,ugaGSEC2,member_roster,h2q3,sex,indiv
UGA,2014,ugaGSEC2.dta,ugaGSEC2,member_roster,h2q8,age,indiv
NGA,2013,ngasect1_plantingw2.dta,ngasect1_plantingw2,hh_overview,hhid,hhid,hh
NGA,2013,ngasect1_plantingw2.dta,ngasect1_plantingw2,hh_overview,sector,urb_rur,hh
NGA,2013,ngaNGA_HouseholdGeovars_Y2.dta,ngaNGA_HouseholdGeovars_Y2,geovars,dist_road2,dist_road,hh
NGA,2013,ngaNGA_HouseholdGeovars_Y2.dta,ngaNGA_HouseholdGeovars_Y2,geovars,dist_popcenter2,dist_popcenter,hh
NGA,2013,ngaNGA_HouseholdGeovars_Y2.dta,ngaNGA_HouseholdGeovars_Y2,geovars,dist_market,dist_agmrkt,hh
NGA,2013,ngasect8_harvestw2.dta,ngasect8_harvestw2,housing,s8q11,cooking_fuel_prm,hh
NGA,2013,ngasect1_plantingw2.dta,ngasect1_plantingw2,member_roster,s1q3,relation_head,indiv
NGA,2013,ngasect1_plantingw2.dta,ngasect1_plantingw2,member_roster,s1q2,sex,indiv
NGA,2013,ngasect1_plantingw2.dta,ngasect1_plantingw2,member_roster,s1q6,age,indiv
NER,2014,,,hh_overview,no_var,hhid,hh
NER,2014,nerECVMA2_MS00P1.dta,nerECVMA2_MS00P1,hh_overview,MS00Q15,urb_rur,hh
NER,2014,,,geovars,no_var,dist_road,hh
NER,2014,,,geovars,no_var,dist_popcenter,hh
NER,2014,,,geovars,no_var,dist_agmrkt,hh
NER,2014,nerECVMA2_MS06P1.dta,nerECVMA2_MS06P1,housing,MS06Q43A,cooking_fuel_prm,hh
NER,2014,nerECVMA2_MS01P1.dta,nerECVMA2_MS01P1,member_roster,MS01Q02,relation_head,indiv
NER,2014,nerECVMA2_MS01P1.dta,nerECVMA2_MS01P1,member_roster,MS01Q01,sex,indiv
NER,2014,nerECVMA2_MS01P1.dta,nerECVMA2_MS01P1,member_roster,MS01Q06A,age,indiv
