x,relabel,group,note
NA,,,
MANQUANT,,,
DUNG / MANURE,ANIMAL WASTE,OTHER BIOMASS,
6. ANIMAL WASTE/DUNG,ANIMAL WASTE,OTHER BIOMASS,
ANIMAL RESIDUAL,ANIMAL WASTE,OTHER BIOMASS,
5. DUNG / MANURE,ANIMAL WASTE,OTHER BIOMASS,
ANIMAL_WASTE,ANIMAL WASTE,OTHER BIOMASS,
BATTERY/DRY CELL (TORCH),BATTERY,OTHER,
BIO GAS,BIOGAS,MODERN (CLEAN),
13. BIOGAS,BIOGAS,MODERN (CLEAN),
GAS (BIOGAS),BIOGAS,MODERN (CLEAN),
11. BIO GAS,BIOGAS,MODERN (CLEAN),
3. CHARCOAL,CHARCOAL,CHARCOAL,
CHARCOAL,CHARCOAL,CHARCOAL,
CHARBON DE BOIS,CHARCOAL,CHARCOAL,
COAL,COAL,MODERN (FOSSIL FUEL),
3. COAL,COAL,MODERN (FOSSIL FUEL),
9. COAL BRIQUETTE,COAL,MODERN (FOSSIL FUEL),
2. COAL/LIGNITE,COAL,MODERN (FOSSIL FUEL),
COLLECTING FIRE WOOD,COLLECTED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
COLLECTED FIREWOOD,COLLECTED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
BOIS RAMASSÉ,COLLECTED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
1. COLLECTED FIREWOOD,COLLECTED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
1. COLLECTING FIRE WOOD,COLLECTED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
COLLECTED_WOOD,COLLECTED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
CROP RESIDUE / LEAVES,CROP RESIDUE,OTHER BIOMASS,
CROP RESIDUE,CROP RESIDUE,OTHER BIOMASS,
4. CROP RESIDUE / LEAVES,CROP RESIDUE,OTHER BIOMASS,
EFFICIENT WOOD BURNING,EFFICIENT WOOD BURNING,FIREWOOD (PURCHASED / COLLECTED),
ELECTRICITY,ELECTRICITY,ELECTRICITY,
ELECTRICITÉ,ELECTRICITY,ELECTRICITY,
6. ELECTRICITY/PHCN,ELECTRICITY,ELECTRICITY,
ELECTRICITY/PHCN,ELECTRICITY,ELECTRICITY,
16. ELECTRIC,ELECTRICITY,ELECTRICITY,
ELECTRIC,ELECTRICITY,ELECTRICITY,
9. ELECTRICITY,ELECTRICITY,ELECTRICITY,
4. WOOD,FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),"from NGA 2018 - firewood, not other biomass "
FIREWOOD,FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
OPEN FIRE,FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
BUTANE / GAS,GAS,MODERN (FOSSIL FUEL),
GAS,GAS,MODERN (FOSSIL FUEL),
GAZ,GAS,MODERN (FOSSIL FUEL),
8. GAS,GAS,MODERN (FOSSIL FUEL),
14. LPG/ COOKING GAS,GAS,MODERN (FOSSIL FUEL),
15. PIPED NATURAL GAS,GAS,MODERN (FOSSIL FUEL),
8. SAW DUST,GAS,MODERN (FOSSIL FUEL),
8. BUTANE / GAS,GAS,MODERN (FOSSIL FUEL),
7. GENERATOR,GENERATOR,MODERN (FOSSIL FUEL),
GENERATOR,GENERATOR,MODERN (FOSSIL FUEL),
KEROSENE,KEROSENE,MODERN (FOSSIL FUEL),
5. KEROSENE,KEROSENE,MODERN (FOSSIL FUEL),
1. KEROSENE,KEROSENE,MODERN (FOSSIL FUEL),
7. KEROSENE,KEROSENE,MODERN (FOSSIL FUEL),
LPG,LPG,MODERN (FOSSIL FUEL),
NONE,NONE,NONE,
12. NONE,NONE,NONE,
OTHER SPECIFY,OTHER,OTHER,
OTHER (SPECIFY),OTHER,OTHER,
AUTRE,OTHER,OTHER,
OTHER,OTHER,OTHER,
"18. OTHER, SPECIFY",OTHER,OTHER,
9. OTHER (SPECIFY),OTHER,OTHER,
"OTHER, SPECIFY",OTHER,OTHER,
13. OTHER SPECIFY,OTHER,OTHER,
BIOMASSE,OTHER BIOMASS,OTHER BIOMASS,
4. GRASS,OTHER BIOMASS,OTHER BIOMASS,
GRASS,OTHER BIOMASS,OTHER BIOMASS,
7. CROP RESIDUE/PLANT BIOMASS,OTHER BIOMASS,OTHER BIOMASS,
11. PROCESSED BIOMASS (PELLETS)/WOODCHIPS,OTHER BIOMASS,OTHER BIOMASS,
OTHER BIOMASS BURNING,OTHER BIOMASS,OTHER BIOMASS,
PARAFFIN,PARAFFIN,MODERN (FOSSIL FUEL),
PÉTROLE,PETROL,MODERN (FOSSIL FUEL),
PURCHASE FIRE WOOD,PURCHASED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
PUCHASED FIREWOOD,PURCHASED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
PURCHASED FIREWOOD,PURCHASED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
BOIS ACHÉTÉ,PURCHASED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
2. PURCHASED FIREWOOD,PURCHASED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
2. PURCHASE FIRE WOOD,PURCHASED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
PURCHASED_WOOD,PURCHASED FIREWOOD,FIREWOOD (PURCHASED / COLLECTED),
SAWDUST,SAWDUST,OTHER BIOMASS,
SAW DUST,SAWDUST,OTHER BIOMASS,
WOOD / SAWDUST BURNING,SAWDUST,OTHER BIOMASS,
6. SAWDUST,SAWDUST,OTHER BIOMASS,
SOLAR ENERGY,SOLAR,MODERN (CLEAN),
10. SOLAR ENERGY,SOLAR,MODERN (CLEAN),
