country,year,strata1, ref_pct ,ref_pct_of,source
ETH,2011,Tigray,6.6,% Eas,"Basic info doc table 3.1, p12"
ETH,2011,Afar,1.7,% Eas,"Basic info doc table 3.1, p12"
ETH,2011,Amhara,26.6,% Eas,"Basic info doc table 3.1, p12"
ETH,2011,Oromia,37.6,% Eas,"Basic info doc table 3.1, p12"
ETH,2011,Somalie,4.5,% Eas,"Basic info doc table 3.1, p12"
ETH,2011,Benishangul Gumuz,1,% Eas,"Basic info doc table 3.1, p12"
ETH,2011,SNNP,20.8,% Eas,"Basic info doc table 3.1, p12"
ETH,2011,Gambela,0.4,% Eas,"Basic info doc table 3.1, p12"
ETH,2011,Harari,0.3,% Eas,"Basic info doc table 3.1, p12"
ETH,2011,Dire Dawa,0.5,% Eas,"Basic info doc table 3.1, p12"
ETH,2013,Tigray,11.32,% Eas,"Basic info doc table 3.1, p12"
ETH,2013,Afar,3,% Eas,"Basic info doc table 3.2, p14"
ETH,2013,Amhara,19.86,% Eas,"Basic info doc table 3.2, p14"
ETH,2013,Oromia,19.63,% Eas,"Basic info doc table 3.2, p14"
ETH,2013,Somalie,6,% Eas,"Basic info doc table 3.2, p14"
ETH,2013,Benishangul Gumuz,2.54,% Eas,"Basic info doc table 3.2, p14"
ETH,2013,SNNP,22.86,% Eas,"Basic info doc table 3.2, p14"
ETH,2013,Gambela,2.77,% Eas,"Basic info doc table 3.2, p14"
ETH,2013,Harari,3.23,% Eas,"Basic info doc table 3.2, p14"
ETH,2013,Dire Dawa,4.16,% Eas,"Basic info doc table 3.2, p14"
ETH,2013,Addis Ababa,4.62,% Eas,"Basic info doc table 3.2, p14"
ETH,2015,Tigray,11.32,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,Afar,3,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,Amhara,19.86,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,Oromia,19.63,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,Somalie,6,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,Benishangul Gumuz,2.54,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,SNNP,22.86,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,Gambela,2.77,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,Harari,3.23,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,Dire Dawa,4.16,% Eas,"Basic info doc table 3.2, p15"
ETH,2015,Addis Ababa,4.62,% Eas,"Basic info doc table 3.2, p15"
ETH,2018,Tigray,9.37,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,Afar,7.93,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,Amhara,10.64,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,Oromia,11.16,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,Somalie,9.13,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,Benishangul Gumuz,7.97,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,SNNP,10.28,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,Gambela,7.49,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,Harari,7.65,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,Addis Ababa,10.56,% HHs,"Basic info doc table 3.1, p11"
ETH,2018,Dire Dawa,7.81,% HHs,"Basic info doc table 3.1, p11"
MWI,2010,Balaka,2.6,% HHs,"Basic info doc table 1, p7"
MWI,2010,Blantyre City ,5.2,% HHs,"Basic info doc table 1, p7"
MWI,2010,Blantyre,2.7,% HHs,"Basic info doc table 1, p7"
MWI,2010,Chikwawa ,3.3,% HHs,"Basic info doc table 1, p7"
MWI,2010,Chiradzulu ,2.4,% HHs,"Basic info doc table 1, p7"
MWI,2010,Chitipa ,1.3,% HHs,"Basic info doc table 1, p7"
MWI,2010,Dedza ,4.9,% HHs,"Basic info doc table 1, p7"
MWI,2010,Dowa  ,4.1,% HHs,"Basic info doc table 1, p7"
MWI,2010,Karonga ,2,% HHs,"Basic info doc table 1, p7"
MWI,2010,Kasungu ,4.3,% HHs,"Basic info doc table 1, p7"
MWI,2010,Likoma ,0.1,% HHs,"Basic info doc table 1, p7"
MWI,2010,Lilongwe City ,5.2,% HHs,"Basic info doc table 1, p7"
MWI,2010,Lilongwe,9.3,% HHs,"Basic info doc table 1, p7"
MWI,2010,Machinga ,3.9,% HHs,"Basic info doc table 1, p7"
MWI,2010,Mangochi ,6.3,% HHs,"Basic info doc table 1, p7"
MWI,2010,Mchinji ,3.3,% HHs,"Basic info doc table 1, p7"
MWI,2010,Mulanje ,4.3,% HHs,"Basic info doc table 1, p7"
MWI,2010,Mwanza ,0.7,% HHs,"Basic info doc table 1, p7"
MWI,2010,Mzimba ,4.8,% HHs,"Basic info doc table 1, p7"
MWI,2010,Mzuzu City ,0.9,% HHs,"Basic info doc table 1, p7"
MWI,2010,Neno ,0.9,% HHs,"Basic info doc table 1, p7"
MWI,2010,Nkhata Bay ,1.4,% HHs,"Basic info doc table 1, p7"
MWI,2010,Nkhota kota ,2.1,% HHs,"Basic info doc table 1, p7"
MWI,2010,Nsanje ,1.8,% HHs,"Basic info doc table 1, p7"
MWI,2010,Ntcheu ,3.8,% HHs,"Basic info doc table 1, p7"
MWI,2010,Ntchisi ,1.6,% HHs,"Basic info doc table 1, p7"
MWI,2010,Phalombe ,2.6,% HHs,"Basic info doc table 1, p7"
MWI,2010,Rumphi ,1.2,% HHs,"Basic info doc table 1, p7"
MWI,2010,Salima ,2.6,% HHs,"Basic info doc table 1, p7"
MWI,2010,Thyolo ,4.8,% HHs,"Basic info doc table 1, p7"
MWI,2010,Zomba City ,0.6,% HHs,"Basic info doc table 1, p7"
MWI,2010,Zomba,4.8,% HHs,"Basic info doc table 1, p7"
MWI,2013,Balaka ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Blantyre City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Blantyre,2.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Chikwawa ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Chiradzulu ,2.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Chitipa ,1.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Dedza ,4.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Dowa  ,4.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Karonga ,2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Kasungu ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Likoma ,0.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Lilongwe City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Lilongwe,9.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Machinga ,3.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mangochi ,6.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mchinji ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mulanje ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mwanza ,0.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mzimba ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mzuzu City ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Neno ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Nkhata Bay ,1.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Nkhota kota ,2.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Nsanje ,1.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Ntcheu ,3.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Ntchisi ,1.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Phalombe ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Rumphi ,1.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Salima ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Thyolo ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Zomba City ,0.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Zomba,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Balaka ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Blantyre City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Blantyre,2.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Chikwawa ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Chiradzulu ,2.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Chitipa ,1.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Dedza ,4.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Dowa  ,4.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Karonga ,2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Kasungu ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Likoma ,0.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Lilongwe City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Lilongwe,9.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Machinga ,3.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mangochi ,6.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mchinji ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mulanje ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mwanza ,0.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mzimba ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mzuzu City ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Neno ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Nkhata Bay ,1.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Nkhota kota ,2.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Nsanje ,1.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Ntcheu ,3.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Ntchisi ,1.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Phalombe ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Rumphi ,1.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Salima ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Thyolo ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Zomba City ,0.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Zomba,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Balaka ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Blantyre City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Blantyre,2.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Chikwawa ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Chiradzulu ,2.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Chitipa ,1.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Dedza ,4.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Dowa  ,4.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Karonga ,2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Kasungu ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Likoma ,0.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Lilongwe City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Lilongwe,9.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Machinga ,3.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mangochi ,6.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mchinji ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mulanje ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mwanza ,0.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mzimba ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mzuzu City ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
